Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,Exchange
PYT,PPlus Trust,19.9499,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/pyt,,NYSE
PQG,PQ Group Holdings Inc.,14.29,$1.94B,2017,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/pqg,,NYSE
PDS,Precision Drilling Corporation,1.86,$546.43M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pds,,NYSE
APTS,"Preferred Apartment Communities, Inc.",14.75,$605.48M,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/apts,,NYSE
PBH,Prestige Consumer Healthcare Inc.,32.1,$1.66B,2005,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pbh,,NYSE
PVG,"Pretium Resources, Inc.",7.42,$1.36B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/pvg,,NYSE
PRI,"Primerica, Inc.",100.97,$4.34B,2010,Finance,Life Insurance,https://www.nasdaq.com/symbol/pri,,NYSE
PGZ,Principal Real Estate Income Fund,16.61,$114.61M,2013,n/a,n/a,https://www.nasdaq.com/symbol/pgz,,NYSE
PRIF^A,"Priority Income Fund, Inc.",24.24,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/prif^a,,NYSE
PRIF^B,"Priority Income Fund, Inc.",24.2294,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/prif^b,,NYSE
PRA,ProAssurance Corporation,39.31,$2.11B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pra,,NYSE
PG,Procter & Gamble Company (The),96.64,$240.77B,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/pg,,NYSE
PGR,Progressive Corporation (The),62,$36.15B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pgr,,NYSE
PLD,"Prologis, Inc.",64.81,$40.8B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pld,,NYSE
PUMP,ProPetro Holding Corp.,14.71,$1.23B,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/pump,,NYSE
PRO,"PROS Holdings, Inc.",30.7,$1.14B,2007,Technology,EDP Services,https://www.nasdaq.com/symbol/pro,,NYSE
PBB,Prospect Capital Corporation,24.65,n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/pbb,,NYSE
PBC,Prospect Capital Corporation,24.67,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/pbc,,NYSE
PBY,Prospect Capital Corporation,23.78,$1.29B,2018,n/a,n/a,https://www.nasdaq.com/symbol/pby,,NYSE
PB,"Prosperity Bancshares, Inc.",62.53,$4.37B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/pb,,NYSE
PRLB,"Proto Labs, Inc.",113.56,$3.07B,2012,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/prlb,,NYSE
PFS,"Provident Financial Services, Inc",23.67,$1.58B,2003,Finance,Savings Institutions,https://www.nasdaq.com/symbol/pfs,,NYSE
PJH,"Prudential Financial, Inc.",24.02,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/pjh,,NYSE
PRH,"Prudential Financial, Inc.",23.81,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/prh,,NYSE
PRS,"Prudential Financial, Inc.",23.85,$519.61M,2018,Finance,Life Insurance,https://www.nasdaq.com/symbol/prs,,NYSE
PRU,"Prudential Financial, Inc.",82.37,$34.02B,2001,Finance,Life Insurance,https://www.nasdaq.com/symbol/pru,,NYSE
PUK,Prudential Public Limited Company,35.14,$45.54B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/puk,,NYSE
PUK^,Prudential Public Limited Company,25.72,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/puk^,,NYSE
PUK^A,Prudential Public Limited Company,25.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/puk^a,,NYSE
PSB,"PS Business Parks, Inc.",139.92,$3.83B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psb,,NYSE
PSB^U,"PS Business Parks, Inc.",23.04,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^u,,NYSE
PSB^V,"PS Business Parks, Inc.",23.28,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^v,,NYSE
PSB^W,"PS Business Parks, Inc.",20.55,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^w,,NYSE
PSB^X,"PS Business Parks, Inc.",20.84,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^x,,NYSE
PSB^Y,"PS Business Parks, Inc.",20.59,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^y,,NYSE
TLK,"PT Telekomunikasi Indonesia, Tbk",25.78,$25.54B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tlk,,NYSE
PEG,Public Service Enterprise Group Incorporated,55.69,$28.15B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/peg,,NYSE
PSA,Public Storage,203.47,$35.48B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa,,NYSE
PSA^A,Public Storage,24.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^a,,NYSE
PSA^B,Public Storage,22.58,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^b,,NYSE
PSA^C,Public Storage,21.4599,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^c,,NYSE
PSA^D,Public Storage,20.77,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^d,,NYSE
PSA^E,Public Storage,20.53,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^e,,NYSE
PSA^F,Public Storage,21.39,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^f,,NYSE
PSA^G,Public Storage,21.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^g,,NYSE
PSA^U,Public Storage,23.65,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^u,,NYSE
PSA^V,Public Storage,22.285,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^v,,NYSE
